college_slno,college_name,course_slno,course_info
13,"AMAL COLLEGE OF ADVANCED STUDIES,SANTHIGRAMAM NILAMBUR",13.5,Human Physiology I PSG1MN101 - Basics in cellular physiology [Human Physiology 2024 syllabus]
13,"AMAL COLLEGE OF ADVANCED STUDIES,SANTHIGRAMAM NILAMBUR",13.6,Professional Journalism
13,"AMAL COLLEGE OF ADVANCED STUDIES,SANTHIGRAMAM NILAMBUR",13.7,A1: Hospitality Operations
13,"AMAL COLLEGE OF ADVANCED STUDIES,SANTHIGRAMAM NILAMBUR",13.8,A2:Hospitality Management
13,"AMAL COLLEGE OF ADVANCED STUDIES,SANTHIGRAMAM NILAMBUR",13.9,Analytics for Financial Data
13,"AMAL COLLEGE OF ADVANCED STUDIES,SANTHIGRAMAM NILAMBUR",13.1,General Management BBA1MN101 - Marketing Management [Management Studies 2024 syllabus]
13,"AMAL COLLEGE OF ADVANCED STUDIES,SANTHIGRAMAM NILAMBUR",13.12,Government and Politics POL1MN104 - Introduction to Political Science [Political Science 2024 syllabus]
13,"AMAL COLLEGE OF ADVANCED STUDIES,SANTHIGRAMAM NILAMBUR",13.13,STA1MN105 - Descriptive Statistics [Statistics 2024 syllabus]
13,"AMAL COLLEGE OF ADVANCED STUDIES,SANTHIGRAMAM NILAMBUR",13.14,STA1MN103 - Introductory Statistics with R [Statistics 2024 syllabus]
14,"AMBEDKAR COLLEGE OF ARTS AND SCIENCE,WANDOOR,MALAPPURAM",14.1,D1: Digital Marketing COM1MN107 - Essentials of Marketing [Commerce 2024 syllabus]
14,"AMBEDKAR COLLEGE OF ARTS AND SCIENCE,WANDOOR,MALAPPURAM",14.2,D2: Logistics COM1MN108 - Advertisement and Sales Promotion [Commerce 2024 syllabus]
14,"AMBEDKAR COLLEGE OF ARTS AND SCIENCE,WANDOOR,MALAPPURAM",14.3,Data Science and AI CSC1MN102 - Python Programming [Computer Science 2024 syllabus]
14,"AMBEDKAR COLLEGE OF ARTS AND SCIENCE,WANDOOR,MALAPPURAM",14.4,General Computing Principles CSC1MN105 - Introduction to IT [Computer Science 2024 syllabus]
14,"AMBEDKAR COLLEGE OF ARTS AND SCIENCE,WANDOOR,MALAPPURAM",14.5,Gender Studies HIS1MN115 - Gender History [History 2024 syllabus]
14,"AMBEDKAR COLLEGE OF ARTS AND SCIENCE,WANDOOR,MALAPPURAM",14.6,History of Modern India
14,"AMBEDKAR COLLEGE OF ARTS AND SCIENCE,WANDOOR,MALAPPURAM",14.7,Professional Journalism
14,"AMBEDKAR COLLEGE OF ARTS AND SCIENCE,WANDOOR,MALAPPURAM",14.8,POL1MN102 - A Preface to Indian Constitution [Political Science 2024 syllabus]
14,"AMBEDKAR COLLEGE OF ARTS AND SCIENCE,WANDOOR,MALAPPURAM",14.9,Political Science Group 0 POL1MN100 - Foundations of Political Science [Political Science 2024 syllabus]
14,"AMBEDKAR COLLEGE OF ARTS AND SCIENCE,WANDOOR,MALAPPURAM",14.1,STA1MN101 - Descriptive Statistics for Data Science [Statistics 2024 syllabus]
15,"AMC GROUP OF EDUCATIONAL INSTITUTIONS,MANISSERY,OTTAPALAM",15.1,A1: Entrepreneurial Finance COM1MN101 - Fundamentals of Entrepreneurship [Commerce 2024 syllabus]
15,"AMC GROUP OF EDUCATIONAL INSTITUTIONS,MANISSERY,OTTAPALAM",15.2,A2: Entrepreneurial Leadership COM1MN102 - Entrepreneurial Marketing [Commerce 2024 syllabus]
15,"AMC GROUP OF EDUCATIONAL INSTITUTIONS,MANISSERY,OTTAPALAM",15.3,B1: Financial Reporting
15,"AMC GROUP OF EDUCATIONAL INSTITUTIONS,MANISSERY,OTTAPALAM",15.4,COM1MN104 - Essentials of Cost Accounting [Commerce 2024 syllabus]
15,"AMC GROUP OF EDUCATIONAL INSTITUTIONS,MANISSERY,OTTAPALAM",15.5,D1: Digital Marketing COM1MN107 - Essentials of Marketing [Commerce 2024 syllabus]
15,"AMC GROUP OF EDUCATIONAL INSTITUTIONS,MANISSERY,OTTAPALAM",15.6,D2: Logistics COM1MN108 - Advertisement and Sales Promotion [Commerce 2024 syllabus]
15,"AMC GROUP OF EDUCATIONAL INSTITUTIONS,MANISSERY,OTTAPALAM",15.7,COM1VN101 - Fundamentals of Travel and Tourism [Commerce 2024 syllabus]
15,"AMC GROUP OF EDUCATIONAL INSTITUTIONS,MANISSERY,OTTAPALAM",15.8,F2: Hospitality Management COM1VN102 - Foundations of Hospitality [Commerce 2024 syllabus]
15,"AMC GROUP OF EDUCATIONAL INSTITUTIONS,MANISSERY,OTTAPALAM",15.9,Artificial Intelligence
15,"AMC GROUP OF EDUCATIONAL INSTITUTIONS,MANISSERY,OTTAPALAM",15.1,Data Science
15,"AMC GROUP OF EDUCATIONAL INSTITUTIONS,MANISSERY,OTTAPALAM",15.11,Fiscal Policy in Practice ECO1MN101 - Fiscal Tools for Policy Formulation [Economics 2024 syllabus]
15,"AMC GROUP OF EDUCATIONAL INSTITUTIONS,MANISSERY,OTTAPALAM",15.12,Monetary Policy in Practice ECO1MN102 - Monetary Tools for Policy Formulation [Economics 2024 syllabus]
15,"AMC GROUP OF EDUCATIONAL INSTITUTIONS,MANISSERY,OTTAPALAM",15.13,English at Workspace
15,"AMC GROUP OF EDUCATIONAL INSTITUTIONS,MANISSERY,OTTAPALAM",15.14,English For Content Creation ENG1MN101 - Fundamentals of Content Creation [English 2024 syllabus]
15,"AMC GROUP OF EDUCATIONAL INSTITUTIONS,MANISSERY,OTTAPALAM",15.15,Archaeological Practices in HIS1MN102 - Field study and Documentation [History 2024 syllabus]
15,"AMC GROUP OF EDUCATIONAL INSTITUTIONS,MANISSERY,OTTAPALAM",15.16,HIS1MN101 - History of Field Archaeology [History 2024 syllabus]
15,"AMC GROUP OF EDUCATIONAL INSTITUTIONS,MANISSERY,OTTAPALAM",15.17,Analytics for Financial Data
15,"AMC GROUP OF EDUCATIONAL INSTITUTIONS,MANISSERY,OTTAPALAM",15.18,General Management BBA1MN101 - Marketing Management [Management Studies 2024 syllabus]
